antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'fish', 'frozenmeal'})","frozenset({'Unnamed: 18', 'cannedveg'})",0.09,0.303,0.051,0.5666666666666667,1.87018701870187,0.023729999999999998,1.6084615384615386
frozenset({'cannedveg'}),"frozenset({'Unnamed: 18', 'fish', 'frozenmeal'})",0.303,0.09,0.051,0.1683168316831683,1.87018701870187,0.023729999999999998,1.0941666666666665
frozenset({'frozenmeal'}),"frozenset({'Unnamed: 18', 'fish', 'cannedveg'})",0.302,0.089,0.051,0.16887417218543047,1.8974626088250615,0.024121999999999998,1.0961035856573704
"frozenset({'All_three', 'fish', 'cannedveg'})",frozenset({'frozenmeal'}),0.089,0.302,0.051,0.5730337078651685,1.8974626088250612,0.024121999999999998,1.6347894736842103
"frozenset({'All_three', 'fish', 'frozenmeal'})",frozenset({'cannedveg'}),0.09,0.303,0.051,0.5666666666666667,1.87018701870187,0.023729999999999998,1.6084615384615386
"frozenset({'All_three', 'cannedveg'})","frozenset({'fish', 'frozenmeal'})",0.303,0.09,0.051,0.1683168316831683,1.87018701870187,0.023729999999999998,1.0941666666666665
"frozenset({'All_three', 'frozenmeal'})","frozenset({'fish', 'cannedveg'})",0.302,0.089,0.051,0.16887417218543047,1.8974626088250615,0.024121999999999998,1.0961035856573704
"frozenset({'fish', 'cannedveg'})","frozenset({'All_three', 'frozenmeal'})",0.089,0.302,0.051,0.5730337078651685,1.8974626088250612,0.024121999999999998,1.6347894736842103
"frozenset({'fish', 'frozenmeal'})","frozenset({'All_three', 'cannedveg'})",0.09,0.303,0.051,0.5666666666666667,1.87018701870187,0.023729999999999998,1.6084615384615386
frozenset({'cannedveg'}),"frozenset({'All_three', 'fish', 'frozenmeal'})",0.303,0.09,0.051,0.1683168316831683,1.87018701870187,0.023729999999999998,1.0941666666666665
frozenset({'frozenmeal'}),"frozenset({'All_three', 'fish', 'cannedveg'})",0.302,0.089,0.051,0.16887417218543047,1.8974626088250615,0.024121999999999998,1.0961035856573704
"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})",frozenset({'cannedveg'}),0.302,0.303,0.173,0.5728476821192052,1.8905864096343408,0.081494,1.631736434108527
"frozenset({'All_three', 'Unnamed: 18', 'cannedveg'})",frozenset({'frozenmeal'}),0.303,0.302,0.173,0.570957095709571,1.890586409634341,0.081494,1.626876923076923
"frozenset({'All_three', 'frozenmeal'})","frozenset({'Unnamed: 18', 'cannedveg'})",0.302,0.303,0.173,0.5728476821192052,1.8905864096343408,0.081494,1.631736434108527
"frozenset({'All_three', 'cannedveg'})","frozenset({'Unnamed: 18', 'frozenmeal'})",0.303,0.302,0.173,0.570957095709571,1.890586409634341,0.081494,1.626876923076923
"frozenset({'Unnamed: 18', 'frozenmeal'})","frozenset({'All_three', 'cannedveg'})",0.302,0.303,0.173,0.5728476821192052,1.8905864096343408,0.081494,1.631736434108527
"frozenset({'Unnamed: 18', 'cannedveg'})","frozenset({'All_three', 'frozenmeal'})",0.303,0.302,0.173,0.570957095709571,1.890586409634341,0.081494,1.626876923076923
frozenset({'frozenmeal'}),"frozenset({'All_three', 'Unnamed: 18', 'cannedveg'})",0.302,0.303,0.173,0.5728476821192052,1.8905864096343408,0.081494,1.631736434108527
frozenset({'cannedveg'}),"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})",0.303,0.302,0.173,0.570957095709571,1.890586409634341,0.081494,1.626876923076923
"frozenset({'All_three', 'Unnamed: 18', 'beer'})",frozenset({'cannedveg'}),0.293,0.303,0.167,0.5699658703071673,1.8810754795616083,0.07822100000000001,1.6208015873015875
"frozenset({'All_three', 'Unnamed: 18', 'cannedveg'})",frozenset({'beer'}),0.303,0.293,0.167,0.5511551155115512,1.8810754795616083,0.07822100000000001,1.575154411764706
"frozenset({'All_three', 'beer'})","frozenset({'Unnamed: 18', 'cannedveg'})",0.293,0.303,0.167,0.5699658703071673,1.8810754795616083,0.07822100000000001,1.6208015873015875
"frozenset({'All_three', 'cannedveg'})","frozenset({'Unnamed: 18', 'beer'})",0.303,0.293,0.167,0.5511551155115512,1.8810754795616083,0.07822100000000001,1.575154411764706
"frozenset({'Unnamed: 18', 'beer'})","frozenset({'All_three', 'cannedveg'})",0.293,0.303,0.167,0.5699658703071673,1.8810754795616083,0.07822100000000001,1.6208015873015875
"frozenset({'Unnamed: 18', 'cannedveg'})","frozenset({'All_three', 'beer'})",0.303,0.293,0.167,0.5511551155115512,1.8810754795616083,0.07822100000000001,1.575154411764706
frozenset({'beer'}),"frozenset({'All_three', 'Unnamed: 18', 'cannedveg'})",0.293,0.303,0.167,0.5699658703071673,1.8810754795616083,0.07822100000000001,1.6208015873015875
frozenset({'cannedveg'}),"frozenset({'All_three', 'Unnamed: 18', 'beer'})",0.303,0.293,0.167,0.5511551155115512,1.8810754795616083,0.07822100000000001,1.575154411764706
"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})",frozenset({'cannedmeat'}),0.302,0.204,0.075,0.24834437086092714,1.2173743669653292,0.013392000000000001,1.0589955947136565
"frozenset({'All_three', 'Unnamed: 18', 'cannedmeat'})",frozenset({'frozenmeal'}),0.204,0.302,0.075,0.36764705882352944,1.2173743669653294,0.013392000000000001,1.103813953488372
"frozenset({'All_three', 'frozenmeal'})","frozenset({'Unnamed: 18', 'cannedmeat'})",0.302,0.204,0.075,0.24834437086092714,1.2173743669653292,0.013392000000000001,1.0589955947136565
"frozenset({'All_three', 'cannedmeat'})","frozenset({'Unnamed: 18', 'frozenmeal'})",0.204,0.302,0.075,0.36764705882352944,1.2173743669653294,0.013392000000000001,1.103813953488372
"frozenset({'Unnamed: 18', 'frozenmeal'})","frozenset({'All_three', 'cannedmeat'})",0.302,0.204,0.075,0.24834437086092714,1.2173743669653292,0.013392000000000001,1.0589955947136565
"frozenset({'Unnamed: 18', 'cannedmeat'})","frozenset({'All_three', 'frozenmeal'})",0.204,0.302,0.075,0.36764705882352944,1.2173743669653294,0.013392000000000001,1.103813953488372
frozenset({'frozenmeal'}),"frozenset({'All_three', 'Unnamed: 18', 'cannedmeat'})",0.302,0.204,0.075,0.24834437086092714,1.2173743669653292,0.013392000000000001,1.0589955947136565
frozenset({'cannedmeat'}),"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})",0.204,0.302,0.075,0.36764705882352944,1.2173743669653294,0.013392000000000001,1.103813953488372
"frozenset({'Unnamed: 18', 'beer', 'fish'})",frozenset({'frozenmeal'}),0.085,0.302,0.05,0.5882352941176471,1.9477989871445267,0.02433,1.695142857142857
"frozenset({'Unnamed: 18', 'fish', 'frozenmeal'})",frozenset({'beer'}),0.09,0.293,0.05,0.5555555555555556,1.896094046264695,0.023630000000000005,1.5907500000000003
"frozenset({'Unnamed: 18', 'beer'})","frozenset({'fish', 'frozenmeal'})",0.293,0.09,0.05,0.17064846416382254,1.896094046264695,0.023630000000000005,1.0972427983539095
"frozenset({'Unnamed: 18', 'frozenmeal'})","frozenset({'beer', 'fish'})",0.302,0.085,0.05,0.16556291390728478,1.9477989871445267,0.02433,1.096547619047619
"frozenset({'beer', 'fish'})","frozenset({'Unnamed: 18', 'frozenmeal'})",0.085,0.302,0.05,0.5882352941176471,1.9477989871445267,0.02433,1.695142857142857
"frozenset({'fish', 'frozenmeal'})","frozenset({'Unnamed: 18', 'beer'})",0.09,0.293,0.05,0.5555555555555556,1.896094046264695,0.023630000000000005,1.5907500000000003
frozenset({'beer'}),"frozenset({'Unnamed: 18', 'fish', 'frozenmeal'})",0.293,0.09,0.05,0.17064846416382254,1.896094046264695,0.023630000000000005,1.0972427983539095
frozenset({'frozenmeal'}),"frozenset({'Unnamed: 18', 'beer', 'fish'})",0.302,0.085,0.05,0.16556291390728478,1.9477989871445267,0.02433,1.096547619047619
"frozenset({'All_three', 'beer', 'fish'})",frozenset({'frozenmeal'}),0.085,0.302,0.05,0.5882352941176471,1.9477989871445267,0.02433,1.695142857142857
"frozenset({'All_three', 'fish', 'frozenmeal'})",frozenset({'beer'}),0.09,0.293,0.05,0.5555555555555556,1.896094046264695,0.023630000000000005,1.5907500000000003
"frozenset({'All_three', 'beer'})","frozenset({'fish', 'frozenmeal'})",0.293,0.09,0.05,0.17064846416382254,1.896094046264695,0.023630000000000005,1.0972427983539095
"frozenset({'All_three', 'frozenmeal'})","frozenset({'beer', 'fish'})",0.302,0.085,0.05,0.16556291390728478,1.9477989871445267,0.02433,1.096547619047619
"frozenset({'beer', 'fish'})","frozenset({'All_three', 'frozenmeal'})",0.085,0.302,0.05,0.5882352941176471,1.9477989871445267,0.02433,1.695142857142857
"frozenset({'fish', 'frozenmeal'})","frozenset({'All_three', 'beer'})",0.09,0.293,0.05,0.5555555555555556,1.896094046264695,0.023630000000000005,1.5907500000000003
frozenset({'beer'}),"frozenset({'All_three', 'fish', 'frozenmeal'})",0.293,0.09,0.05,0.17064846416382254,1.896094046264695,0.023630000000000005,1.0972427983539095
